id,systemID,orgAreaCode,field,fieldName,value,amountRules
835,MG9001001,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",001;002;003,
1060,MG0170001;0170;M00000000008,440000,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",001;002;003,
1182,MG9999999;0150;U00002000004,330300,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",001;002;003,
1259,MG0170001,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",001;002;003;005,
1260,MG9999999,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",001;002;003;005,
1274,lymk0000001,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",002;003;005|003,amount<10000|amount>=10000
1285,MG9999999;8002;U00102000004,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",002;003|003,amount<=3000|amount>3000
1297,MG8001001;8001;U00102000001,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",002;003;005|003,amount<10000|amount>=10000
1470,LYBH0000001;9002;M00100000005,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",3,
1804,ZC8003001,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",001;002;003;005|001;003,amount<=10000|amount>10000
2226,LHJY0000001,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",002;003|003,amount<=100|amount>100
2733,LHJY0000002,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",001;003;005,
2856,MG9999999;0221;M00100000005,500000000000,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",3,
2860,MG9999999;0221;M00100000005,530000000000,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",3,
3097,ZC8003002,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",001;002;003;005|001;003,amount<=10000|amount>10000
3288,LY8005001;8005;M00100000016,500000000000,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",001;002;003;005,
3649,LY8001001;8001;U00102000001,,payMethodNew,"支付方式,拼接按照从小到大顺序拼接",002;003;005|003,amount<10000|amount>=10000
